id,fecha,tema1,tema2,tema3,tema4,dificultad1,dificultad2,dificultad3,descripcion,historial
2200107,31-oct-22,Inducción,Combinatoria,,,7,,,"Berkeley Math Circle Monthly Contest 1, 2022-2023", 
2200106,31-oct-22,Planimetría,Angulos,Inducción,Congruencias,6,,,"Moises: Me lo he inventado, la verdad",
2200105,31-oct-22,Planimetría,Angulos,,,2,,,"Mathematical circles (Russian experience), Cap 14",
2200104,31-oct-22,Planimetría,Desigualdad triangular,,,6,,,Mathematical circles (Russian experience) cap 6,
2200103,31-oct-22,Planimetría,Desigualdad triangular,Transformaciones,,4,,,Mathematical circles (Russian experience) cap 6,
2200102,31-oct-22,Planimetría,Congruencia de triángulos,,,1,,,Folklore,
2200101,31-oct-22,Planimetría,Desigualdad triangular,,,4,,,Folklore,
2200100,31-oct-22,Planimetría,Circunferencias,Tangentes,,4,,,problems.ru ,
2200099,31-oct-22,Planimetría,Ángulos, ,,4,,,"problems.ru 54046, http://zadachi.mccme.ru  1809",
2200098,31-oct-22,Aritmética,factorizar polinomios, ,,4,,," Berkeley Math Circle Monthly Contest 1, 2022-2023",
2200097,31-oct-22,Planimetría,Ángulos, ,,2,,,"problems.ru 53384, http://zadachi.mccme.ru  1112",
2200096,31-oct-22,Congruencias,, ,,3,,," Berkeley Math Circle Monthly Contest 1, 2022-2023",
2200095,31-oct-22,Planimetría,Ángulos, ,,3,,," problems.ru 53375, http://zadachi.mccme.ru  1103",
2200094,30-oct-22,Planimetría,Semejanza de triangulos,Construcciones auxiliares,,4,,,Sentido físico: el centro de masas: lo mismo que 2200081,
2200093,30-oct-22,Planimetría,Semejanza de triangulos,,,4,,,"problems.ru 55055, http://zadachi.mccme.ru 3111 ",
2200092,30-oct-22,Planimetría,Semejanza de triangulos,Construcciones auxiliares,,5,,,problems.ru 66372,
2200091,30-oct-22,Planimetría,Semejanza de triangulos,,,4,,,problems.ru ,
